Time resolution is 1 ps

[DEBUG] Time: 8915000 | SHAKE DOUT: 0aed8c45
[DEBUG] Time: 8925000 | SHAKE DOUT: c9b32ae1
[DEBUG] Time: 8945000 | SHAKE DOUT: bcd03f51
[DEBUG] Time: 8955000 | SHAKE DOUT: 7d3f548c
[DEBUG] Time: 8965000 | SHAKE DOUT: 94df4c9e
[DEBUG] Time: 8985000 | SHAKE DOUT: f162f90e
[DEBUG] Time: 8995000 | SHAKE DOUT: ae08c80c
[DEBUG] Time: 9005000 | SHAKE DOUT: 382a1596
[DEBUG] Time: 9025000 | SHAKE DOUT: 0a070173
[DEBUG] Time: 9035000 | SHAKE DOUT: 42c1b014
[DEBUG] Time: 9045000 | SHAKE DOUT: 84f11b40
[DEBUG] Time: 9065000 | SHAKE DOUT: 69dd527d
[DEBUG] Time: 9075000 | SHAKE DOUT: e7955252
[DEBUG] Time: 9085000 | SHAKE DOUT: 15d33767
[DEBUG] Time: 9105000 | SHAKE DOUT: 76707169
[DEBUG] Time: 9115000 | SHAKE DOUT: b09d9a47
[DEBUG] Time: 9125000 | SHAKE DOUT: 49565116
[DEBUG] Time: 9145000 | SHAKE DOUT: e1bbe350
[DEBUG] Time: 9155000 | SHAKE DOUT: 4971a7d9
[DEBUG] Time: 9165000 | SHAKE DOUT: 1aa3c7c0
[DEBUG] Time: 9185000 | SHAKE DOUT: 986e0475
[DEBUG] Time: 9195000 | SHAKE DOUT: 81836841
[DEBUG] Time: 9205000 | SHAKE DOUT: 635a1f3e
[DEBUG] Time: 9225000 | SHAKE DOUT: d90b8b05
[DEBUG] Time: 9235000 | SHAKE DOUT: 903aafc7
[DEBUG] Time: 9245000 | SHAKE DOUT: c522aa81
[DEBUG] Time: 9265000 | SHAKE DOUT: 0e44b790
[DEBUG] Time: 9275000 | SHAKE DOUT: 3eb26ced
[DEBUG] Time: 9285000 | SHAKE DOUT: 7cd2fcdf
[DEBUG] Time: 9305000 | SHAKE DOUT: 524c423e
[DEBUG] Time: 9315000 | SHAKE DOUT: 689e6cb1
[DEBUG] Time: 9325000 | SHAKE DOUT: b405cde8
[DEBUG] Time: 9345000 | SHAKE DOUT: 4c943a3f
[DEBUG] Time: 9355000 | SHAKE DOUT: 16da91ff
[DEBUG] Time: 9865000 | SHAKE DOUT: 335b262b
[DEBUG] Time: 9885000 | SHAKE DOUT: 3ca143cd
[DEBUG] Time: 9895000 | SHAKE DOUT: a8c3b8f1
[DEBUG] Time: 9905000 | SHAKE DOUT: 6f6c2300
[DEBUG] Time: 9925000 | SHAKE DOUT: b3b0e8b2
[DEBUG] Time: 9935000 | SHAKE DOUT: bcedbad6
[DEBUG] Time: 9945000 | SHAKE DOUT: 72b3c2e4
[DEBUG] Time: 9965000 | SHAKE DOUT: a0108027
[DEBUG] Time: 9975000 | SHAKE DOUT: 0b1b19ea
[DEBUG] Time: 9985000 | SHAKE DOUT: cf13673d
[DEBUG] Time: 10005000 | SHAKE DOUT: d95a3643
[DEBUG] Time: 10015000 | SHAKE DOUT: 068bb7fd
[DEBUG] Time: 10025000 | SHAKE DOUT: 02c1bedf
[DEBUG] Time: 10045000 | SHAKE DOUT: b3d29856
[DEBUG] Time: 10055000 | SHAKE DOUT: 281da1db
[DEBUG] Time: 10065000 | SHAKE DOUT: d5b8c7cf
[DEBUG] Time: 10075000 | SHAKE DOUT: 1f9b8a58
[DEBUG] Time: 10085000 | SHAKE DOUT: f1db748b
[DEBUG] Time: 10095000 | SHAKE DOUT: 54a7f440
[DEBUG] Time: 10105000 | SHAKE DOUT: 416901a3
[DEBUG] Time: 10125000 | SHAKE DOUT: 91435c27
[DEBUG] Time: 10135000 | SHAKE DOUT: 4ca5fefe
